,date,bobot
0,2021-01-01,0.0
1,2021-01-02,0.0
2,2021-01-03,0.0
3,2021-01-04,0.0
4,2021-01-05,0.0
5,2021-01-06,0.0
6,2021-01-07,0.0
7,2021-01-08,0.0
8,2021-01-09,0.0
9,2021-01-10,0.0
10,2021-01-11,0.0
11,2021-01-12,0.0
12,2021-01-13,0.0
13,2021-01-14,0.0
14,2021-01-15,0.0
15,2021-01-16,0.0
16,2021-01-17,0.0
17,2021-01-18,0.0
18,2021-01-19,0.0
19,2021-01-20,0.0
20,2021-01-21,0.0
21,2021-01-22,0.0
22,2021-01-23,0.0
23,2021-01-24,0.0
24,2021-01-25,0.0
25,2021-01-26,0.0
26,2021-01-27,0.0
27,2021-01-28,0.0
28,2021-01-29,0.0
29,2021-01-30,0.0
30,2021-01-31,0.0
31,2021-02-01,0.0
32,2021-02-02,0.0
33,2021-02-03,0.0
34,2021-02-04,0.0
35,2021-02-05,0.0
36,2021-02-06,0.0
37,2021-02-07,0.0
38,2021-02-08,0.0
39,2021-02-09,0.0
40,2021-02-10,0.6
41,2021-02-11,0.6
42,2021-02-12,0.6
43,2021-02-13,0.6
44,2021-02-14,0.6
45,2021-02-15,0.0
46,2021-02-16,0.0
47,2021-02-17,0.0
48,2021-02-18,0.0
49,2021-02-19,0.0
50,2021-02-20,0.0
51,2021-02-21,0.0
52,2021-02-22,0.0
53,2021-02-23,0.6
54,2021-02-24,0.6
55,2021-02-25,0.6
56,2021-02-26,0.6
57,2021-02-27,0.6
58,2021-02-28,0.0
59,2021-03-01,0.0
60,2021-03-02,0.0
61,2021-03-03,0.0
62,2021-03-04,0.0
63,2021-03-05,0.0
64,2021-03-06,0.0
65,2021-03-07,0.0
66,2021-03-08,0.0
67,2021-03-09,0.0
68,2021-03-10,0.5
69,2021-03-11,0.5
70,2021-03-12,0.5
71,2021-03-13,0.5
72,2021-03-14,0.5
73,2021-03-15,0.5
74,2021-03-16,0.0
75,2021-03-17,0.0
76,2021-03-18,0.0
77,2021-03-19,0.0
78,2021-03-20,0.0
79,2021-03-21,0.5
80,2021-03-22,0.5
81,2021-03-23,0.5
82,2021-03-24,0.5
83,2021-03-25,0.5
84,2021-03-26,0.5
85,2021-03-27,0.0
86,2021-03-28,0.0
87,2021-03-29,0.0
88,2021-03-30,0.0
89,2021-03-31,0.0
90,2021-04-01,0.3
91,2021-04-02,0.3
92,2021-04-03,0.3
93,2021-04-04,0.3
94,2021-04-05,0.3
95,2021-04-06,0.0
96,2021-04-07,0.0
97,2021-04-08,0.0
98,2021-04-09,0.3
99,2021-04-10,0.3
100,2021-04-11,0.3
101,2021-04-12,0.0
102,2021-04-13,0.0
103,2021-04-14,0.0
104,2021-04-15,0.0
105,2021-04-16,0.0
106,2021-04-17,0.0
107,2021-04-18,0.0
108,2021-04-19,0.0
109,2021-04-20,0.0
110,2021-04-21,0.0
111,2021-04-22,0.0
112,2021-04-23,0.0
113,2021-04-24,0.0
114,2021-04-25,0.0
115,2021-04-26,0.0
116,2021-04-27,0.0
117,2021-04-28,0.0
118,2021-04-29,0.0
119,2021-04-30,0.5
120,2021-05-01,0.5
121,2021-05-02,0.5
122,2021-05-03,0.0
123,2021-05-04,0.0
124,2021-05-05,0.0
125,2021-05-06,0.5
126,2021-05-07,0.5
127,2021-05-08,0.5
128,2021-05-09,0.0
129,2021-05-10,0.8
130,2021-05-11,0.8
131,2021-05-12,0.8
132,2021-05-13,0.8
133,2021-05-14,0.8
134,2021-05-15,0.8
135,2021-05-16,0.8
136,2021-05-17,0.0
137,2021-05-18,0.0
138,2021-05-19,0.5
139,2021-05-20,0.5
140,2021-05-21,0.8
141,2021-05-22,0.8
142,2021-05-23,0.8
143,2021-05-24,0.8
144,2021-05-25,0.5
145,2021-05-26,0.5
146,2021-05-27,0.5
147,2021-05-28,0.0
148,2021-05-29,0.0
149,2021-05-30,0.6
150,2021-05-31,0.6
151,2021-06-01,0.6
152,2021-06-02,0.6
153,2021-06-03,0.0
154,2021-06-04,0.0
155,2021-06-05,0.0
156,2021-06-06,0.0
157,2021-06-07,0.0
158,2021-06-08,0.0
159,2021-06-09,0.0
160,2021-06-10,0.0
161,2021-06-11,0.0
162,2021-06-12,0.0
163,2021-06-13,0.0
164,2021-06-14,0.0
165,2021-06-15,0.0
166,2021-06-16,0.0
167,2021-06-17,0.0
168,2021-06-18,0.0
169,2021-06-19,0.0
170,2021-06-20,0.0
171,2021-06-21,0.0
172,2021-06-22,0.0
173,2021-06-23,0.0
174,2021-06-24,0.0
175,2021-06-25,0.0
176,2021-06-26,0.0
177,2021-06-27,0.0
178,2021-06-28,0.0
179,2021-06-29,0.0
180,2021-06-30,0.0
181,2021-07-01,0.0
182,2021-07-02,0.0
183,2021-07-03,0.0
184,2021-07-04,0.0
185,2021-07-05,0.0
186,2021-07-06,0.0
187,2021-07-07,0.0
188,2021-07-08,0.0
189,2021-07-09,0.0
190,2021-07-10,0.0
191,2021-07-11,0.0
192,2021-07-12,0.0
193,2021-07-13,0.0
194,2021-07-14,0.0
195,2021-07-15,0.0
196,2021-07-16,0.0
197,2021-07-17,0.0
198,2021-07-18,0.0
199,2021-07-19,0.7
200,2021-07-20,0.7
201,2021-07-21,0.7
202,2021-07-22,0.0
203,2021-07-23,0.0
204,2021-07-24,0.0
205,2021-07-25,0.0
206,2021-07-26,0.0
207,2021-07-27,0.0
208,2021-07-28,0.0
209,2021-07-29,0.7
210,2021-07-30,0.7
211,2021-07-31,0.7
212,2021-08-01,0.7
213,2021-08-02,0.7
214,2021-08-03,0.0
215,2021-08-04,0.0
216,2021-08-05,0.0
217,2021-08-06,0.0
218,2021-08-07,0.0
219,2021-08-08,0.0
220,2021-08-09,0.4
221,2021-08-10,0.4
222,2021-08-11,0.4
223,2021-08-12,0.4
224,2021-08-13,0.4
225,2021-08-14,0.7
226,2021-08-15,0.7
227,2021-08-16,0.7
228,2021-08-17,0.7
229,2021-08-18,0.7
230,2021-08-19,0.7
231,2021-08-20,0.0
232,2021-08-21,0.0
233,2021-08-22,0.0
234,2021-08-23,0.0
235,2021-08-24,0.0
236,2021-08-25,0.0
237,2021-08-26,0.0
238,2021-08-27,0.0
239,2021-08-28,0.0
240,2021-08-29,0.0
241,2021-08-30,0.0
242,2021-08-31,0.0
243,2021-09-01,0.0
244,2021-09-02,0.0
245,2021-09-03,0.0
246,2021-09-04,0.0
247,2021-09-05,0.0
248,2021-09-06,0.0
249,2021-09-07,0.0
250,2021-09-08,0.0
251,2021-09-09,0.0
252,2021-09-10,0.0
253,2021-09-11,0.0
254,2021-09-12,0.0
255,2021-09-13,0.0
256,2021-09-14,0.0
257,2021-09-15,0.0
258,2021-09-16,0.0
259,2021-09-17,0.0
260,2021-09-18,0.0
261,2021-09-19,0.0
262,2021-09-20,0.0
263,2021-09-21,0.0
264,2021-09-22,0.0
265,2021-09-23,0.0
266,2021-09-24,0.0
267,2021-09-25,0.0
268,2021-09-26,0.0
269,2021-09-27,0.0
270,2021-09-28,0.0
271,2021-09-29,0.0
272,2021-09-30,0.0
273,2021-10-01,0.0
274,2021-10-02,0.0
275,2021-10-03,0.0
276,2021-10-04,0.0
277,2021-10-05,0.0
278,2021-10-06,0.0
279,2021-10-07,0.0
280,2021-10-08,0.0
281,2021-10-09,0.0
282,2021-10-10,0.0
283,2021-10-11,0.0
284,2021-10-12,0.0
285,2021-10-13,0.0
286,2021-10-14,0.0
287,2021-10-15,0.0
288,2021-10-16,0.0
289,2021-10-17,0.0
290,2021-10-18,0.4
291,2021-10-19,0.4
292,2021-10-20,0.4
293,2021-10-21,0.4
294,2021-10-22,0.4
295,2021-10-23,0.0
296,2021-10-24,0.0
297,2021-10-25,0.0
298,2021-10-26,0.0
299,2021-10-27,0.0
300,2021-10-28,0.0
301,2021-10-29,0.0
302,2021-10-30,0.0
303,2021-10-31,0.0
304,2021-11-01,0.0
305,2021-11-02,0.0
306,2021-11-03,0.0
307,2021-11-04,0.0
308,2021-11-05,0.0
309,2021-11-06,0.0
310,2021-11-07,0.0
311,2021-11-08,0.0
312,2021-11-09,0.0
313,2021-11-10,0.0
314,2021-11-11,0.0
315,2021-11-12,0.0
316,2021-11-13,0.0
317,2021-11-14,0.0
318,2021-11-15,0.0
319,2021-11-16,0.0
320,2021-11-17,0.0
321,2021-11-18,0.0
322,2021-11-19,0.0
323,2021-11-20,0.0
324,2021-11-21,0.0
325,2021-11-22,0.0
326,2021-11-23,0.0
327,2021-11-24,0.0
328,2021-11-25,0.0
329,2021-11-26,0.0
330,2021-11-27,0.0
331,2021-11-28,0.0
332,2021-11-29,0.0
333,2021-11-30,0.0
334,2021-12-01,0.0
335,2021-12-02,0.0
336,2021-12-03,0.0
337,2021-12-04,0.0
338,2021-12-05,0.0
339,2021-12-06,0.0
340,2021-12-07,0.0
341,2021-12-08,0.0
342,2021-12-09,0.0
343,2021-12-10,0.0
344,2021-12-11,0.0
345,2021-12-12,0.0
346,2021-12-13,0.0
347,2021-12-14,0.0
348,2021-12-15,0.0
349,2021-12-16,0.0
350,2021-12-17,0.0
351,2021-12-18,0.0
352,2021-12-19,0.0
353,2021-12-20,0.0
354,2021-12-21,0.0
355,2021-12-22,0.8
356,2021-12-23,0.8
357,2021-12-24,0.8
358,2021-12-25,0.8
359,2021-12-26,0.8
360,2021-12-27,0.8
361,2021-12-28,0.0
362,2021-12-29,0.0
363,2021-12-30,0.0
